name,xpos,ypos,zpos,xrot,yrot,zrot,xscale,yscale,zscale
Terrain
Ground,-30.8,0,-14.1,0,0,0,137.5919,1,100
Swamp,78.97,0,-16.8,0,0,0,66.45732,1,68.14
MountainSkybox,0,97.7,0,0,0,0,1,1,1
SM_Terrain_Mountain_01,-25.1,0,34.3,0,0,0,1,1,1
SM_Terrain_Mountain_01,14.92,0,-45.81,0,0,0,1,1,1
SM_Terrain_Mountain_02,-39.3,0,-25.1,0,0,0,1,1,1
SM_Terrain_Mountain_01,-9.6,-4,4.2,0,0,0,1,1,1
SM_Terrain_Mountain_01,37.5,-2.9,-25,0,0,0,1,1,1
SM_Terrain_Mountain_01,42.04,0,32.3,0,0,0,1,1,1
SM_Terrain_Mountain_01,82.3,0,29.8,0,0,0,1,1,1
SM_Terrain_Mountain_01,104.9,-6.9,3,0,0,0,1,1,1
SM_Terrain_Mountain_01,110.5,0,-30.2,0,0,0,1,1,1
SM_Terrain_Mountain_01,54.8,-5.4,-52.1,0,0,0,1,1,1
SM_Terrain_Ground_Mound_Large_01,43.31,0.35,2.58,0,0,0,1,1,1
SM_Terrain_Ground_Mound_Large_01,43.31,0.35,-3.7,0,0,0,1,1,1
SM_Terrain_Mountain_02,58.2,5.54,23.9,0,0,0,1,1,1
SM_Terrain_Mountain_01,-99.36,-4,-2.37,0,0,0,1,1,1
SM_Terrain_Mountain_01,82.23,0,-57.37,0,0,0,1,1,1
SM_Terrain_Mountain_01,26.6,10.8,-56.8,0,0,0,1,1,1
SM_Terrain_Mountain_01,55.1,4.7,-73.5,0,0,0,1,1,1
Teleport,-76.308,0.9,-4.198,0,0,0,1,1,2.5
DragonLand,81.57,0.5,-5.54,0,0,0,1,1,1
DragonLand,62.2,0.5,-28.25,0,0,0,1,1,1
Rocks
Props
SM_Prop_Skull_01,-14.039,0.698,-44.569,335.9731,60.96886,355.9678,1,1,1
SM_Prop_Chest_Wood_01,-13.09588,0.4587991,-44.96191,352.1373,1.285794,355.3525,1,1,1
SM_Prop_CampFire_01,-65.00735,0.4600858,-2.554905,0,0,0,1,1,1
SM_Prop_Fence_02,-76.19741,0.225,-7.003339,0,269.6626,0,1,1,1
SM_Prop_Fence_02,-76.18063,0.225,-9.854301,0,269.6626,0,1,1,1
SM_Prop_Fence_02,-76.16405,0.225,-12.66725,0,269.6626,0,1,1,1
SM_Prop_Fence_02,-76.25,0.225,1.526,0,269.6626,0,1,1,1
SM_Prop_Fence_02,-76.23322,0.225,-1.324948,0,269.6626,0,1,1,1
SM_Prop_Pillar_Broken_Moss_01,35.17,0.44,5.29,0,0,0,1,1,1
SM_Prop_Pillar_Broken_Moss_02,35.47,0.1400858,4.48,0,0,0,1,1,1
SM_Prop_Pillar_Broken_Moss_01,34.01,0.44,-1.46,0,303.6963,0,1,1,1
SM_Prop_Pillar_Arch_Broken_Moss_02,35.81,0.52,-2.59,0,0,0,1,1,1
SM_Prop_Pillar_Arch_Moss_01,33.66,-2.642,-3.72,0,312.7501,0,1,1,1
SM_Prop_Skeleton_Ground_01,34.39,0.488,4.007,0,313.3077,0,1,1,1
SM_Prop_Skull_01,33.553,0.578,-2.871,0,307.7753,0,1,1,1
SM_Prop_CampFire_01,13.30665,0.4600858,5.420095,0,0,0,1,1,1
Vegetation
SM_Tree_Generic_Giant_01_Brown,-59.86,0.7628981,-2,4.268868E-07,-3.415094E-06,2.134434E-07,1,1,1
SM_Tree_Willow_Large_01_Swamp,15.49,0.7628981,5.74,4.268868E-07,-3.415094E-06,2.134434E-07,1,1,1
SM_Tree_Large_01,-77.42,0,0.3899999,0,0,0,1,1,1
SM_Tree_Large_01,19.58,0.16,19.18,0,0,0,1,1,1
SM_Tree_Large_01,17.65,0.16,-12.66,0,0,0,1,1,1
SM_Tree_Large_01,-36.57,0.16,9.89,0,0,0,1,1,1
SM_Tree_Large_01,-7.91,0.16,-32.38,0,0,0,1,1,1
Particle
Fire_Small_FX,-65.004,0.481,-2.525,0,0,0,1,1,1
Fire_Small_FX,13.31,0.481,5.45,0,0,0,1,1,1
FX_Direction_Arrows_02,-75.5,0.502,-4.14,0,270,0,1,1,1
Leaves_Brown_01,-60.08,2.98,-2.13,0,0,0,1,1,1
CombinedObject
Forest_PolygonNature_01_1,0,0,0,0,0,0,1,1,1
Forest_PolygonNature_01_2,0,0,0,0,0,0,1,1,1
Forest_PolygonNature_Moss_1,0,0,0,0,0,0,1,1,1
Forest_PolygonNature_Snow_1,0,0,0,0,0,0,1,1,1
Forest_PolygonNature_Tree,0,0,0,0,0,0,1,1,1
Forest_PolygonNature_Tree_1,0,0,0,0,0,0,1,1,1
Forest_PolygonNature_Tree_2,0,0,0,0,0,0,1,1,1
